Desembolso,Vencimiento,Saldo$,FechaReporte,PE_30.04.2024,PD_MAX_2024_04_30,LGD_MAX_2024_04_30,PlazoRestante(Dias),Reserva Especifica$,Ab_24,Tasa_Propuesta,bps%,IntAnual_TasaPropuesta,Tasa_Costo_Oportunidad,FTP,TIR,Código Moneda,Status Mora,SegmentoComercial,Nuevo,Brecha_encoded,Saldo$_capp,PE_30.04.2024_capp,PD_MAX_2024_04_30_capp,PlazoRestante(Dias)_capp,Reserva Especifica$_capp,Ab_24_capp,Tasa_Propuesta_capp,IntAnual_TasaPropuesta_capp,FTP_capp,TIR_capp,Saldo$_capp_cuad,PE_30.04.2024_capp_cuad,PlazoRestante(Dias)_capp_cuad,Reserva Especifica$_capp_cuad,Tasa_Propuesta_capp_cuad,IntAnual_TasaPropuesta_capp_cuad,FTP_capp_cuad,FTP_capp_log,FTP_capp_inv,FTP_capp_BC,FTP_capp_YJ,TIR_capp_cuad,TIR_capp_cuad_minMaxScaled,Saldo$_capp_cuad_minMaxScaled,FTP_capp_cuad_minMaxScaled,Tasa_Propuesta_capp_cuad_minMaxScaled,Reserva Especifica$_capp_cuad_minMaxScaled,PE_30.04.2024_capp_cuad_minMaxScaled,PlazoRestante(Dias)_capp_cuad_minMaxScaled
2022-08-02,2037-04-30,3724668.653,2024-04-30,99427.8422,0.075017593,0.35,4748,72351.20216,0.075,0.0775,0.0025,288661.8206,0.065,0.083098271,0.006061544,2667,2781,0,2777,4,12606.041441562498,0.131215753625,0.008578982,2836.75,69.652121385,0.07750000000000001,0.07750000000000001,1790.3720879875,0.0796494025,0.006061544,158912280.8263911,0.017217573999376696,8047150.5625,4851.418013430774,0.006006250000000002,3205432.2134447205,0.006344027318607006,-2.5301207442235825,12.55502199153346,-383.34702690086135,-383.34702690086135,3.6742315663936005e-05,0.013660663733286824,0.716563546660613,0.9223256831203596,0.3055370068644996,0.3639720346967754,0.9901393898353619,0.5492192018507808
2022-09-12,2039-02-28,2902574.199,2024-04-30,100418.0252,0.0972228,0.35,5417,56339.50477,0.0775,0.08,0.0025,232205.9359,0.065,0.084221178,0.008111886,2667,2781,0,2777,4,12606.041441562498,0.131215753625,0.008578982,2836.75,69.652121385,0.07750000000000001,0.08,1790.3720879875,0.0796494025,0.008111886,158912280.8263911,0.017217573999376696,8047150.5625,4851.418013430774,0.0064,3205432.2134447205,0.006344027318607006,-2.5301207442235825,12.55502199153346,-383.34702690086135,-383.34702690086135,6.5802694476996e-05,0.01828143900114511,0.5584064130928287,0.935660073491149,0.31622105291273805,0.2834231301312435,1.0,0.626604973973395
2023-10-23,2026-05-25,2573399.796,2024-04-30,50873.84772,0.0972228,0.2,755,49795.28605,0.075,0.08,0.005,205871.9837,0.065,0.076396078,0.005582224,2667,2781,0,2777,1,12606.041441562498,0.131215753625,0.008578982,755.0,69.652121385,0.07750000000000001,0.08,1790.3720879875,0.076396078,0.005582224,158912280.8263911,0.017217573999376696,570025.0,4851.418013430774,0.0064,3205432.2134447205,0.005836360733782085,-2.5718239192058863,13.089677195208894,-430.0053066789822,-430.0053066789822,3.1161224786176e-05,0.012580439067650636,0.4950787993751395,0.8427379186818325,0.31622105291273805,0.2505015955622438,0.5066206751096316,0.08733371891266628
2023-07-17,2028-07-17,2272312.02,2024-04-30,12008.44648,0.014031596,0.3796,1539,43969.23758,0.085,0.085,0.0,193146.5217,0.065,0.077712011,0.009979336,2667,2781,2,2777,2,12606.041441562498,0.131215753625,0.008578982,1539.0,69.652121385,0.085,0.085,1790.3720879875,0.077712011,0.009979336,158912280.8263911,0.017217573999376696,2368521.0,4851.418013430774,0.007225000000000001,3205432.2134447205,0.006039156653664121,-2.554745451830477,12.868023708716018,-410.2481708675312,-410.2481708675312,9.9587147000896e-05,0.022490037749042752,0.43715457987364276,0.8583644704121218,0.337589145009215,0.22119290887064538,0.11958457115725075,0.17802197802197803
2023-11-23,2026-05-25,1707450.764,2024-04-30,33754.79796,0.0972228,0.2,755,28521.49497,0.075,0.08,0.005,136596.0612,0.065,0.076396078,0.005594174,2667,2781,0,2777,1,12606.041441562498,0.131215753625,0.008578982,755.0,69.652121385,0.07750000000000001,0.08,1790.3720879875,0.076396078,0.005594174,158912280.8263911,0.017217573999376696,570025.0,4851.418013430774,0.0064,3205432.2134447205,0.005836360733782085,-2.5718239192058863,13.089677195208894,-430.0053066789822,-430.0053066789822,3.1294782742276007e-05,0.012607370313487139,0.3284847832611255,0.8427379186818325,0.31622105291273805,0.14348105141180345,0.336142817913133,0.08733371891266628
2024-03-13,2025-04-25,1119428.911,2024-04-30,22130.12374,0.0972228,0.2,360,13097.31826,0.075,0.0775,0.0025,86755.74061,0.065,0.075733076,0.003731178,2667,2781,2,42,0,12606.041441562498,0.131215753625,0.008578982,360.0,69.652121385,0.07750000000000001,0.07750000000000001,1790.3720879875,0.075733076,0.003731178,158912280.8263911,0.017217573999376696,129600.0,4851.418013430774,0.006006250000000002,3205432.2134447205,0.005735498800421775,-2.5805402786963474,13.204270218735076,-440.4523557110476,-440.4523557110476,1.3921689267684e-05,0.008408809370523032,0.21535927767816607,0.8348648468382921,0.3055370068644996,0.06588774524604844,0.22037999349144738,0.04164256795835743
2024-04-15,2025-11-23,1090279.032,2024-04-30,7216.184774,0.026613336,0.2,572,15916.57843,0.1225,0.1225,0.0,133559.1815,0.065,0.076088915,0.029031569,2667,2781,2,42,1,12606.041441562498,0.131215753625,0.008578982,572.0,69.652121385,0.1225,0.1225,1790.3720879875,0.076088915,0.029031569,158912280.8263911,0.017217573999376696,327184.0,4851.418013430774,0.015006249999999999,3205432.2134447205,0.005789522985877224,-2.575852688324995,13.142518854421832,-434.80288150872906,-434.80288150872906,0.000842831998601761,0.06542730726011624,0.20975133167627297,0.8390903936869192,0.49784983573279196,0.08007039639461198,0.07186144877503527,0.06616541353383458
2023-09-14,2026-05-25,900046.5785,2024-04-30,4044.405125,0.011917681,0.3796,755,17791.23326,0.075,0.0775,0.0025,69753.60984,0.065,0.076396078,0.004292093,2667,2781,0,2777,1,12606.041441562498,0.131215753625,0.008578982,755.0,69.652121385,0.07750000000000001,0.07750000000000001,1790.3720879875,0.076396078,0.004292093,158912280.8263911,0.017217573999376696,570025.0,4851.418013430774,0.006006250000000002,3205432.2134447205,0.005836360733782085,-2.5718239192058863,13.089677195208894,-430.0053066789822,-430.0053066789822,1.8422062320649e-05,0.009672921484195157,0.17315381005240515,0.8427379186818325,0.3055370068644996,0.08950108880135772,0.04027568872166986,0.08733371891266628
2023-07-05,2033-07-31,869779.1148,2024-04-30,30091.04852,0.0972228,0.35,3379,17058.97327,0.0775,0.0825,0.005,71756.77697,0.065,0.080800424,0.009574431,2667,2781,0,2777,3,12606.041441562498,0.131215753625,0.008578982,2836.75,69.652121385,0.07750000000000001,0.0825,1790.3720879875,0.0796494025,0.009574431,158912280.8263911,0.017217573999376696,8047150.5625,4851.418013430774,0.006806250000000001,3205432.2134447205,0.006344027318607006,-2.5301207442235825,12.55502199153346,-383.34702690086135,-383.34702690086135,9.166972897376099e-05,0.021577519247333202,0.16733085956798435,0.8950390165394693,0.3269050989609765,0.08581736067341392,0.29965783991537803,0.3908617698091382
2023-06-12,2028-06-30,857799.9362,2024-04-30,4341.850492,0.013435055,0.3796,1522,15749.20675,0.0825,0.0825,0.0,70768.49473,0.065,0.077683476,0.00840634,2667,2781,2,2777,2,12606.041441562498,0.131215753625,0.008578982,1522.0,69.652121385,0.0825,0.0825,1790.3720879875,0.077683476,0.00840634,158912280.8263911,0.017217573999376696,2316484.0,4851.418013430774,0.006806250000000001,3205432.2134447205,0.006034722443442576,-2.555112708317414,12.872750441805668,-410.6633345110437,-410.6633345110437,7.06665521956e-05,0.01894503842052097,0.1650262672663891,0.8580256205971056,0.3269050989609765,0.07922841161617665,0.04323776018650484,0.17605552342394448
